Title,Authors,Language,Categories,Average Rating,Maturity Rating,Publisher,Published Date,Page Count,Edition type,Translated,Top Selling
Technical Paper - Bureau of Mines,Bureau of Mines,English,Mineral industries,2.0,Not mature,John Wiley & Sons,1931,586,Physical,Yes ,Latin America
The Corporate Directory of US Public Companies 1995,Elizabeth Walsh,English,Business & Economics,4.5,Not mature,Springer,2016,2664,Physical,Yes ,Asia
"The National Deans List, 1997-98",Elizabeth Walsh,English,Students,3.0,Not mature,Springer,1998,832,Physical,Yes ,Latin America
Who's who in Technology,Elizabeth Walsh,English,Technologists,3.5,Not mature,Springer,1986,832,Physical,Yes ,North America
The United States Patents Quarterly,Elizabeth Walsh,English,Technologists,2.5,Not mature,Springer,1996,564,Physical,Yes ,Latin America
ACSA Annual Directory,Association of Colleg,English,Architecture,4.0,Not mature,Springer,1991,597,Physical,No,Latin America
"World War II: the Encyclopedia of the War Years, 1941-1945",Norman Polmar,English,History,4.5,Not mature,Courier Corporation,2012,940,Physical,Yes ,Latin America
Bulletin - New Mexico Bureau of Mines & Mineral Resources,Mineral Resources,English,Geology,5.0,Not mature,Courier Corporation,1915,584,Physical,Yes ,Asia
Whitaker's Five-year Cumulative Book List,Mineral Resources,English,English literature,3.0,Not mature,Courier Corporation,1968,356,Physical,No ,Latin America
American Predator,Maureen Callahan,English,English literature,5.0,Not mature,Penguin,2019,304,Physical,Yes,Latin America
Whitaker's Cumulative Book List,Maureen Callahan,English,English literature,3.0,Not mature,Penguin,1961,536,Physical,No,Asia
"Business Organizations, Keyed to Soderquist",Casenotes,English,Juvenile Fiction,4.5,Not mature,Aspen Publishers ,2006,208,Physical,No,Latin America
Next-Generation Biofuels,William T. Coyle,English,Medical,3.0,Not mature,DIA Publishing,2010,26,Physical,Yes ,Latin America
Casenote Legal Briefs for Business Organizations,Casenote Legal ,English,Biography,5.0,Not mature,Wolters Kluwer ,2011,252,Physical,Yes ,Asia
No Oath Sworn,Phil Geusz,English,Business & Economics,2.0,Not mature,Penguin,2012,226,Physical,No ,Latin America
Southern Writers,Amber Vogel,English,Juvenile Fiction,3.0,Not mature,Penguin,2006,504,Physical,Yes,Latin America
Therapist's Guide to Positive Psychological Interventions,Magyar-Moe,English,Juvenile Fiction,1.0,Not mature,Academic Press,2009,200,Physical,No,Asia
A Handbook for the Study of Mental Health,Teresa L. Scheid,English,Computers,1.0,Not mature,Cambridge University ,2017,736,Physical,Yes ,Latin America
Foundations of Professional Psychology,Timothy P Melchert,English,Business & Economics,3.5,Not mature,Penguin,2011,262,Physical,Yes ,Central America
Implementing the IT Balanced Scorecard,Jessica Keyes,English,Computers,3.0,Not mature,Penguin,2016,528,Physical,Yes ,Europe
Brain Mystery Light and Dark,Charles Don Keyes,English,Biography ,3.5,Not mature,Routledge,2006,184,Physical,Yes ,Central America
The Courage to Write,Ralph Keyes,English,Biography ,4.0,Not mature,Holt Paperbacks,2010,240,Physical,Yes ,North America
Epidemiology Matters,Sandro Galea,English,History,3.5,Not mature,Oxford University,1997,304,Physical,Yes ,Latin America
Thermodynamic Functions of Gases: Ammonia,F. Din,English,Biography & Autobiography,2.0,Not mature,Penguin,1995,175,Physical,Yes ,Europe
Journal of Heat Transfer,F. Din,English,Psychology,3.5,Not mature,Penguin,2016,365,Physical,Yes ,Europe
Data Modeling Essentials,Graeme Simsion,English,English literature,4.0,Not mature,Penguin,2012,586,Physical,Yes ,Europe
CliffsNotes on Keyes' Flowers For Algernon,Janet Clark,English,Science,3.5,Not mature,Penguin,2003,66,Physical,Yes ,Central America
The Infernal City: An Elder Scrolls Novel,Greg Keyes,English,Dentistry,3.5,Not mature,Penguin,1988,304,Physical,Yes ,North America
Sushi for Beginners,Marian Keyes,English,Geology,3.5,Not mature,Penguin,2010,448,Physical,Yes ,Latin America
Angels,Marian Keyes,English,English literature,4.0,Not mature,Harper Collins,2001,448,Physical,No,Europe
Science Fiction and Fantasy Literature,Douglas Menville,English,Mathematical ,3.0,Not mature,Penguin,1968,800,Physical,Yes ,Europe
Independence Day: Crucible,Greg Keyes,English,Business & Economics,3.0,Not mature,Penguin,2022,384,Physical,Yes ,Europe
The Mammoth Encyclopedia of Science Fiction,George Mann,English,Computers,3.0,Not mature,Hachette UK,1983,160,Physical,Yes ,Europe
The Mystery of Mercy Close,Marian Keyes,English,Business & Economics,3.5,Not mature,Penguin,1931,400,Physical,No,Europe
The New Orleans of Fiction,James A. Kaser,English,Biography,4.0,Not mature,Scarecrow Press,1995,426,Physical,Yes ,Europe
Lord of Souls,J. Gregory Keyes,English,Mineral industries,1.0,Not mature,Ballantine Books,2006,316,Physical,No,Europe
"The Dardanelles Campaign, 1915",J. Gregory Keyes,English,Business & Economics,3.0,Not mature,Greenwood P},2017,163,Physical,Yes ,Europe
The Routledge Handbook of Stylistics,Michael Burke,English,Students,2.0,Not mature,Routledge,1998,530,Physical,Yes ,Europe
The Liberation Trilogy Box Set,Rick Atkinson,English,Technologists,4.5,Not mature,Henry Holt ,2015,2416,Physical,Yes ,Europe
Legacy Discovered,Kerry Reis,English,Technologists,3.0,Not mature,Author House,2011,188,Physical,Yes ,Europe
"Masterplots II, Short Story Series, Supplement",Frank N. Magill,English,Architecture,3.5,Not mature,Penguin,1991,1746,Physical,No,Europe
Elisha Jones House and Shed,James J. Lee,English,History,2.5,Not mature,Penguin,1989,207,Physical,Yes ,Europe
An Unpredictable Gospel,Jay Riley Case,English,Geology,4.0,Not mature,Oxford University,2012,328,Physical,Yes ,Europe
Masterplots II.,Charles Edward May,English,English literature,4.5,Not mature,Salem Pr Inc,1983,645,Physical,Yes ,Europe
Flowers for Algernon,BookCaps Study,English,English literature,5.0,Not mature,BookCaps ,2011,546,Physical,Yes ,Europe
Stories and Poems for Opening Exercises,John Kenneth Muir,English,English literature,3.0,Not mature,Penguin,2010,46,Physical,Yes ,Europe
"The Encyclopedia of Superheroes on Film and Television, 2d ed.",John Kenneth Muir,English,English literature,5.0,Not mature,Penguin,1996,704,Physical,No,Europe
Flowers for Algernon,Patrice Cassedy,English,Juvenile Fiction,3.5,Not mature,Penguin,2009,96,Physical,Yes ,Europe
Fishery Bulletin,Patrice Cassedy,English,Juvenile Fiction,4.5,Not mature,Penguin,1986,865,Physical,Yes ,Europe
CliffsNotes on Keyes' Flowers For Algernon,Janet Clark,English,Juvenile Fiction,3.0,Not mature,Penguin,2009,66,Physical,No ,Europe
Sammy Keyes and the Kiss Goodbye,Van Draanen,English,Juvenile Fiction,5.0,Not mature,Penguin,2014,240,Physical,Yes,Europe
Sammy Keyes and the Skeleton Man,Van Draanen,English,Juvenile Fiction,2.0,Not mature,Penguin,2004,176,Physical,No,Central America
Sammy Keyes and the Psycho Kitty Queen,Van Draanen,English,Juvenile Fiction,3.0,Not mature,Penguin,2016,320,Physical,No,North America
Sammy Keyes and the Art of Deception,Van Draanen,English,Juvenile Fiction,1.0,Not mature,Yearling,2016,304,Physical,Yes ,Latin America
Sammy Keyes and the Search for Snake Eyes,Van Draanen,English,Juvenile Fiction,1.0,Not mature,Yearling,2016,320,Physical,Yes ,Europe
Caii Spectrum Or Dr. Keyes's Charge Against Dr. M,John Caius ,English,Juvenile Fiction,4.0,Not mature,Penguin,1981,22,Physical,No ,Europe
Resources in Education,John Caius ,English,Education,1.0,Not mature,Penguin,1991,11,Physical,Yes,Europe
Chicano School Failure and Success,Richard R. Valencia,English,Education,3.0,Not mature,Psychology Press,1915,383,Physical,No,Europe
The Politics of Hispanic Education,Joseph Stewart,English,Education,2.0,Not mature,Penguin,2010,275,Physical,Yes ,Europe
Desegregation and Education Concerns of the Hispanic Community,Joseph Stewart,English,Education,4.5,Not mature,Penguin,1997,103,Physical,Yes ,Europe
Linguistic Diversity and National Unity,William A. Smalley,English,Juvenile Fiction,3.0,Not mature,Oxford University,1909,436,Physical,Yes ,Europe
Synergic Integration of Formal and Informal E-Learning,"Leone, Sabrina",English,Medical,3.5,Not mature,IGI Global,2011,337,Physical,Yes ,Europe
"Race and Education, 1954-2007",Raymond Wolters,English,Biography,2.5,Not mature,Oxford University,2021,313,Physical,Yes ,Europe
Wade Keyes' introductory lecture to the Montgomery Law School,Wade Keyes,English,Business & Economics,4.0,Not mature,Oxford University,2006,45,Physical,Yes ,Central America
Education and the Cult of Efficiency,E. Callahan,English,Business & Economics,4.5,Not mature,Oxford University,1989,286,Physical,Yes ,North America
Readings on Equal Education,Abbas Tashakkori,English,Business & Economics,5.0,Not mature,Penguin,1865,271,Physical,Yes ,Latin America
The Worcester Directory,Abbas Tashakkori,English,Computers,3.0,Not mature,Penguin,2006,353,Physical,Yes ,Europe
American Predator,Maureen Callahan,English,Business & Economics,5.0,Not mature,Penguin,2011,304,Physical,Yes ,Europe
Kill Rommel!,Gavin Mortimer,English,Computers,3.0,Not mature,Bloomsbury Publishing,1989,80,Physical,Yes ,North America
Murder in Hollywood,Charles Higham,English,Biography ,4.5,Not mature,Terrace Books,2016,227,Physical,Yes ,Latin America
"The Somerville, Arlington and Belmont Directory",Charles Higham,English,Biography ,3.0,Not mature,Yearling,1980,564,Physical,No,North America
"Greenough, Jones & Co's New Directory of the Inhabitants",Charles Higham,English,History,5.0,Not mature,Open Court ,1961,985,Physical,Yes ,Central America
Benham's Embracing a Limited Sketch of Yale College,Charles Higham,English,Biography & Autobiography,2.0,Not mature,Open Court ,2016,356,Physical,Yes ,North America
The Wisconsin Magazine of History,Charles Higham,English,Psychology,3.0,Not mature,CRC Press,2016,425,Physical,Yes ,Europe
Wisconsin magazine of history,State Historical ,English,English literature,1.0,Not mature,CRC Press,2015,745,Physical,No,North America
Rutland Directory,State Historical ,English,Science,1.0,Not mature,CRC Press,2019,658,Physical,Yes ,Asia
New Evidence on School Desegregation,Finis Welch,English,Dentistry,3.5,Not mature,CRC Press,2016,115,Physical,No,North America
Brunswick,Sharon Martin Zankel,English,Geology,3.0,Not mature,CRC Press,1998,128,Physical,Yes ,Oceania
Downstage Dead,Bruce Barber,English,English literature,3.5,Not mature,CRC Press,2007,203,Physical,Yes ,North America
School as Community,Gail Furman,English,Mathematical ,4.0,Not mature,Carolina Press,2012,315,Physical,Yes ,North America
Euphemania,Ralph Keyes,English,Business & Economics,3.5,Matute,Oxford University,2010,288,Physical,Yes ,Asia
Complex Justice,Joshua M. Dunn,English,Computers,2.0,Not mature,Münster,2012,240,Physical,No,North America
"Five Miles Away, A World Apart",James E. Ryan,English,Business & Economics,3.5,Not mature,BookCaps ,2010,400,Physical,Yes ,Oceania
Learning Disabilities,William M. ,English,Biography,4.0,Not mature,SAGE,1980,296,Physical,Yes ,Oceania
California's Charter Schools,Bureau ,English,Mineral industries,3.5,Not mature,SAGE,2002,219,Physical,Yes ,Latin America
America in Black and White,Stephan Thernstrom,English,Business & Economics,3.5,Not mature,SAGE,2009,704,Physical,Yes ,Latin America
PC Mag,David E. Keyes,English,Students,3.5,Not mature,SAGE,1987,362,Physical,Yes ,Latin America
PC Mag,David E. Keyes,English,Technologists,4.0,Not mature,SAGE,1987,400,Physical,No,Central America
PC Mag,David E. Keyes,English,Technologists,4.0,Not mature,Cengage Learning ,1987,374,Physical,Yes ,North America
PC Mag,David E. Keyes,English,Architecture,1.0,Not mature,SIAM,1988,406,Physical,Yes ,Latin America
PC Mag,David E. Keyes,English,History,3.0,Not mature,SIAM,1988,356,Physical,No ,North America
Computer Decisions,David E. Keyes,English,Geology,2.0,Not mature,CRC Press,1987,623,Physical,Yes,North America
Fifth International Symposium on Domain Decomposition ,David E. Keyes,English,English literature,4.5,Not mature,John Wiley & Sons,1992,687,Physical,No,Latin America
Personal Computing,Purdue Reamer ,English,English literature,3.0,Not mature,John Wiley & Sons,1989,745,Physical,No,Asia
Data sources,Purdue Reamer ,English,English literature,3.5,Not mature,John Wiley & Sons,2000,365,Physical,Yes ,Latin America
History of the ... Economic Censuses,Purdue Reamer ,English,Juvenile Fiction,2.5,Not mature,Springer,1992,254,Physical,Yes ,North America
A University of Tradition,Purdue Reamer ,English,Medical,4.0,Not mature,Springer,2012,256,Physical,No ,Latin America
Biology Pamphlets,W. Jollie,English,Biography,4.5,Not mature,Springer,1898,354,Physical,Yes,Latin America
Biology of the Uterus,W. Jollie,English,Business & Economics,5.0,Not mature,Springer,2013,644,Physical,No,Latin America
Prophets of Agroforestry,Richard K. Reed,English,Juvenile Fiction,3.0,Not mature,Springer,2014,271,Physical,Yes,Asia
"Periodontal Disease, Assessing the Effectiveness and Costs ",Richard M. Scheffler,English,Juvenile Fiction,5.0,Not mature,Courier Corporation,1981,32,Physical,No,Latin America
Columbia University Quarterly,Richard M. Scheffler,English,Computers,3.5,Not mature,Courier Corporation,1913,156,Physical,Yes,Latin America
Advances in Experimental Medicine and Biology,Constance Kies,English,Business & Economics,4.5,Not mature,Courier Corporation,1989,307,Physical,No,Asia
Biology and Pathology of the Oocyte,Alan O. Trounson,English,Computers,3.0,Not mature,Penguin,2009,350,Physical,Yes,Latin America
A. B. Bookman's Weekly,Alan O. Trounson,English,Biography ,5.0,Not mature,Penguin,1983,657,Physical,Yes,Latin America
Human Biology,Sara Stinson,English,Biography ,2.0,Not mature,Aspen Publishers ,1865,780,Physical,Yes,Asia
Quarterly Report,Northwest and Alaska ,English,History,3.0,Not mature,DIA Publishing,2016,874,Physical,No,Latin America
The Anatomy of Hope,Jerome Groopman,English,Biography & Autobiography,1.0,Not mature,Wolters Kluwer ,2016,272,Physical,Yes,Latin America
The Journal of the American Medical Association,Medical Association,English,Psychology,1.0,Not mature,Penguin,2014,245,Physical,No,Asia
Bioethical and Evolutionary Approaches to Medicine and the Law,W. Noel Keyes,English,English literature,4.0,Not mature,Penguin,2016,523,Physical,Yes,Latin America
Official Gazette of the United States Patent Office,Patent Office,English,Science,1.0,Not mature,Academic Press,2010,1254,Physical,Yes,Central America
Directory ... American College of Physicians,College of Physicians,English,Dentistry,3.0,Not mature,Cambridge University ,2016,523,Physical,Yes,Europe
The Azusa Street Mission and Revival,Cecil M. Robeck,English,Geology,2.0,Not mature,Penguin,2004,785,Physical,No,Central America
Directory,A. College of Physician,English,English literature,4.5,Not mature,Penguin,2016,125,Physical,Yes,North America
"Periodontal disease, assessing the effectiveness and costs",A. College of Physician,English,Mathematical ,3.0,Not mature,Routledge,2010,160,Physical,No,Latin America
Standard Directory of Advertising Agencies,A. College of Physician,English,Business & Economics,3.5,Not mature,Holt Paperbacks,2011,654,Physical,Yes,Europe
Mental Health Challenges in Elite Sport: Balancing Risk,T. Eoghan MacIntyre,English,Computers,2.5,Not mature,Oxford University,2003,351,Physical,Yes,Europe
"Sport, the Third Millennium",Fernand Landry,English,Business & Economics,4.0,Not mature,Penguin,2001,158,Physical,Yes ,Europe
"Casenote Legal Briefs for Sports Law, Keyed to Weiler",Casenote Legal Briefs,English,Biography,4.5,Not mature,Penguin,1989,500,Physical,Yes ,Central America
"Women, Sport, and Physical Activity",Helen Lenskyj,English,Mineral industries,5.0,Not mature,Penguin,1989,694,Physical,Yes ,North America
A Concise history of sport in Canada,Don Morrow,English,Business & Economics,3.0,Not mature,Penguin,1909,874,Physical,Yes ,Latin America
Biography and Genealogy Master Index 2003,Kathy Nemeh,English,Students,5.0,Not mature,Penguin,2015,336,Physical,Yes ,Europe
Biography and Genealogy Master Index,Kathy Nemeh,English,Technologists,3.0,Not mature,Penguin,1995,304,Physical,Yes ,Europe
Sams Teach Yourself Perl in 21 Days,Laura Lemay,English,Technologists,4.5,Not mature,Harper Collins,1991,133,Physical,Yes ,Europe
Sammy Keyes and the Psycho Kitty Queen,Van Draanen,English,Architecture,3.0,Not mature,Penguin,2016,303,Physical,Yes ,Europe
"Casenote Legal Briefs for Taxation, Keyed to Freeland, Lathrope",Casenote Legal Briefs,English,History,5.0,Not mature,Penguin,1995,451,Physical,Yes ,Europe
The Mystery of Sex,Elizabeth Keyes,English,Geology,2.0,Not mature,Hachette UK,1997,425,Physical,Yes ,Europe
Delirium,Nancy L. Cohen,English,English literature,3.0,Not mature,Penguin,1931,288,Physical,Yes ,Europe
American Movie Critics,Phillip Lopate,English,English literature,1.0,Not mature,Scarecrow Press,2016,528,Physical,Yes ,Europe
The International Encyclopedia of Sexuality,Robert T. Francoeur,English,English literature,1.0,Mature,Ballantine Books,1998,447,Physical,No,Europe
CliffsNotes on Keyes' Flowers For Algernon,Janet Clark,English,English literature,3.5,Not mature,Greenwood P},1986,481,Physical,Yes ,Europe
"The American Bar, the Canadian Bar, the International Bar",Janet Clark,English,Juvenile Fiction,3.0,Not mature,Routledge,1996,310,Physical,Yes ,Europe
"Family Law, Keyed to Ellman, Kurtz, & Barlett",Casenotes,English,Juvenile Fiction,3.5,Not mature,Henry Holt ,1991,224,Physical,Yes ,Europe
Casenote Legal Briefs for Property Keyed to Dukeminier,Casenote Legal Briefs,English,Juvenile Fiction,4.0,Not mature,Author House,2012,139,Physical,No,Europe
"Family Law, Keyed to Krause, Elrod, Garrison & Oldham",Casenotes,English,Juvenile Fiction,3.5,Not mature,Penguin,1915,139,Physical,Yes ,Europe
"Family Law, Keyed to Weisberg and Appleton's",Casenotes,English,Juvenile Fiction,2.0,Not mature,Penguin,1968,2296,Physical,No,Europe
Brain Mystery Light and Dark,Charles Don Keyes,English,Juvenile Fiction,3.5,Not mature,Oxford University,2019,45,Physical,Yes ,Europe
"The Tryals and Condemnation of Robert Charnock, Kingdom",Robert Charnock,English,Juvenile Fiction,4.0,Not mature,Salem Pr Inc,1961,476,Physical,Yes ,Europe
Adult Development and Aging,John C. Cavanaugh,English,Juvenile Fiction,3.5,Not mature,BookCaps ,2006,476,Physical,Yes ,Europe
Saved by Cake,Marian Keyes,English,Juvenile Fiction,3.5,Not mature,Penguin,2010,23,Physical,Yes ,Europe
Science and the Riddle of Consciousness,Jeffrey Foss,English,Computers,3.5,Not mature,Penguin,2011,15,Physical,No,Europe
Sammy Keyes and the Art of Deception,Van Draanen,English,Juvenile Fiction,4.0,Not mature,Penguin,2012,323,Physical,Yes ,Europe
Sammy Keyes and the Search for Snake Eyes,Van Draanen,English,Juvenile Fiction,4.0,Not mature,Penguin,2006,500,Physical,Yes ,Europe
"Environmental Law, Keyed to Plater, Abrams, Goldfarb, Graham",Casenotes,English,Psychology,1.0,Not mature,Penguin,2009,528,Physical,Yes ,Central America
Beyond Identity,Dick Keyes,English,Medical,3.0,Not mature,Penguin,2017,394,Physical,Yes ,North America
Sammy Keyes and the Skeleton Man,Dick Keyes,English,Psychology,2.0,Not mature,Penguin,2011,594,Physical,Yes ,Latin America
"Bel Marin Keys Development, Unit 5, 404 Permit",Dick Keyes,English,Medical,4.5,Not mature,Penguin,2016,586,Physical,No,Europe
Handbook of Midlife Development,Margie E. Lachman,English,Psychology,3.0,Not mature,Yearling,2006,2664,Physical,Yes ,Europe
Textbook of Operative Dentistry,Amit Garg,English,Medical,3.5,Not mature,Yearling,2010,832,Physical,Yes ,Europe
Legacy Discovered,Kerry Reis,English,Fiction,2.5,Not mature,Penguin,1997,832,Physical,No ,Europe
Parasitic Orobanchaceae,Daniel M. Joel,English,Science,4.0,Not mature,Penguin,1995,564,Physical,Yes,Europe
Strategies and Saints,Carleton Keyes,English,Juvenile Fiction,4.5,Not mature,Psychology Press,2016,597,Physical,No,Europe
The Economist Development Report,Richard M. Lerner,English,Medical,5.0,Not mature,Penguin,2012,940,Physical,No,Europe
"The Handbook of Life-Span Development, Volume 1",Richard M. Lerner,English,Biography,3.0,Not mature,Penguin,2003,584,Physical,Yes ,Europe
Journal of the Iowa Archeological Society,Iowa Archeological ,English,Business & Economics,5.0,Not mature,Oxford University,1988,356,Physical,Yes ,Europe
Localizing development,Henry D. Delcore,English,Business & Economics,3.5,Not mature,IGI Global,2010,304,Physical,No ,Central America
"Oxford English-Arabic Dictionary, Al-Muhit, 1996",Dr. Mohamad Badawi,English,Business & Economics,4.5,Not mature,Oxford University,2001,536,Physical,Yes,North America
Al-Muhit-English-Arabic Oxford Study Dictionary,Internatinal Publication,English,Computers,3.0,Not mature,Oxford University,1968,208,Physical,No,Latin America
"English-Arabic Oxford-Duden Pictorial Dictionary, 2003",Oxford University ,English,Business & Economics,5.0,Not mature,Oxford University,2022,26,Physical,Yes ,Europe
Get Rommel,Michael Asher,English,Computers,2.0,Not mature,Penguin,1983,252,Physical,Yes ,Europe
Omega,Michael Asher,English,Biography ,3.0,Not mature,Penguin,1931,226,Physical,Yes ,North America
Mastering Arabic 1,Mahmoud Gaafar,English,Biography ,1.0,Not mature,Penguin,1995,504,Physical,Yes ,Latin America
Arabic Musical Scales,Cameron Powers,English,History,1.0,Not mature,Penguin,2006,200,Physical,Yes ,North America
Advanced standard Arabic through authentic texts and audiovisual ,Raji M. Rammuny,Árabe,Biography & Autobiography,4.0,Not mature,Yearling,2017,736,Physical,Yes ,Central America
اللغة العربية للمراحل المتقدمة من خلال نصوص ومواد سمعية بصرية أصيلة,Raji M. Rammuny,Árabe,Psychology,1.0,Not mature,Open Court ,1998,262,Physical,Yes ,North America
Geoffrey Keyes,Elizabeth Keyes,English,English literature,3.0,Not mature,Open Court ,2015,528,Physical,Yes ,Europe
صغر عقلك,['معتز مشعل'],Árabe,Science,2.0,Not mature,CRC Press,2011,184,Physical,Yes ,North America
الآراء والمعتقدات,['غوستاف لوبون'],Árabe,Dentistry,4.5,Not mature,CRC Press,1991,240,Physical,Yes ,Asia
دع القلق وابدأ الحياة,['ديل كارنيجي'],Árabe,Geology,3.0,Not mature,CRC Press,1989,304,Physical,Yes ,North America
كيف أصبحوا عظماء,['سعد سعود الكريب],Árabe,English literature,3.5,Not mature,CRC Press,2012,175,Physical,Yes ,Oceania
١٠١ طريقة بسيطة لتكون ناجحًا مع نفسك,Donna Watson,Árabe,Mathematical ,2.5,Not mature,CRC Press,1983,365,Physical,No,North America
الثقة بالنفس وتطوير الذات,['أسامة شاهين'],Árabe,Business & Economics,4.0,Not mature,CRC Press,2011,586,Physical,Yes ,North America
فن وأسرار اتخاذ القرار,['د. إبراهيم الفقي'],Árabe,Computers,4.5,Not mature,Carolina Press,2010,66,Physical,Yes ,Asia
دراسات سيكلوجية,['سلامة موسى/-/-'],Árabe,Business & Economics,5.0,Not mature,Oxford University,1996,304,Physical,Yes ,North America
أيقظ قواك الخفية (كيف تتحكم فوراً بمستقبلك الذهني والعاطفي والجسماني والمالي),['أنتوني روبنز'],Árabe,Biography,3.0,Not mature,Münster,2009,448,Physical,No,Oceania
قوة التحكم في الذات,"['د. إبراهيم الفقي', 'ابراهيم الفقى']",Árabe,Mineral industries,5.0,Not mature,BookCaps ,1986,448,Physical,Yes ,Oceania
Advances in Electronics and Electron Physics,"['د. إبراهيم الفقي', 'ابراهيم الفقى']",Árabe,Business & Economics,3.0,Not mature,SAGE,2009,800,Physical,No,Latin America
Advances in Chemical Physics,Stuart A. Rice,English,Students,4.5,Not mature,SAGE,2014,384,Physical,Yes ,Latin America
Advances in Imaging and Electron Physics,Peter W. Hawkes,English,Technologists,3.0,Not mature,SAGE,2004,160,Physical,Yes ,Latin America
The physics of VLSI systems,Robert W. Keyes,English,Technologists,5.0,Not mature,SAGE,2016,400,Physical,Yes ,Central America
American Men of Science,Robert W. Keyes,English,Architecture,2.0,Not mature,SAGE,2016,426,Physical,Yes ,North America
Directory of Physics & Astronomy Staff Members,Jaques Cattell Press,English,History,3.0,Not mature,Cengage Learning ,2016,316,Physical,No,Latin America
American men & women of science,Jaques Cattell Press,English,Geology,1.0,Not mature,SIAM,1981,163,Physical,Yes ,North America
The Complete Guide to Blender Graphics,John M. Blain,English,English literature,1.0,Not mature,SIAM,1991,530,Physical,Yes ,North America
"The world of learning, 2001",51st Ed,English,English literature,3.5,Not mature,CRC Press,1915,2416,Physical,Yes ,Latin America
The Europa world of learning,Driss Fatih,English,English literature,3.0,Not mature,John Wiley & Sons,2010,188,Physical,Yes ,Asia
A Survey of American Chemistry,National Research C,English,Juvenile Fiction,3.5,Not mature,John Wiley & Sons,1997,1746,Physical,Yes ,Latin America
Annual Report for Fiscal Year ...,Foundation ,English,Medical,4.0,Not mature,John Wiley & Sons,1909,207,Physical,No,North America
Biographical Memoirs,Academy of Sciences,English,Biography,3.5,Not mature,Springer,2011,328,Physical,Yes ,Latin America
Commencement,Berkeley,English,Business & Economics,2.0,Not mature,Springer,2021,645,Physical,Yes ,Latin America
"Organic Chemistry, Volume One",Frank C. Whitmore,English,Juvenile Fiction,3.5,Not mature,Springer,2006,546,Physical,No ,Latin America
American Men of Science,Frank C. Whitmore,English,Juvenile Fiction,4.0,Not mature,Springer,1989,46,Physical,Yes,Asia
